,train,val,test
S-1910-000137_PAS_1of2,True,False,False
S-2102-006222_PAS_2of2,True,False,False
S-2006-004859_PAS_1of2,True,False,False
S-1908-000751_PAS_2of2,True,False,False
S-2002-007508_PAS_1of2,True,False,False
S-2006-004669_PAS_2of2,True,False,False
S-2102-006598_PAS_2of2,True,False,False
S-2006-004763_PAS_2of2,True,False,False
S-2002-007601_PAS_2of2,True,False,False
S-1910-000184_PAS_1of2,True,False,False
S-2101-000888_PAS_2of2,True,False,False
S-1908-000845_PAS_2of2,True,False,False
S-1908-000752_PAS_1of2,True,False,False
S-2006-004858_PAS_2of2,True,False,False
S-1909-007149_PAS_1of2,True,False,False
S-2002-007507_PAS_2of2,True,False,False
S-2102-006175_PAS_2of2,True,False,False
S-2008-000354_PAS_1of2,True,False,False
S-1910-000183_PAS_2of2,True,False,False
S-2006-002244_PAS_2of2,True,False,False
S-2101-000841_PAS_2of2,True,False,False
S-2006-002291_PAS_2of2,True,False,False
S-2106-003493_PAS_2of2,True,False,False
S-2006-003978_PAS_2of2,True,False,False
S-2006-002044_PAS_2of2,True,False,False
S-1905-018778_PAS_2of2,True,False,False
S-2102-006645_PAS_2of2,True,False,False
S-2002-005612_PAS_1of2,True,False,False
S-2001-019412_PAS_2of2,True,False,False
S-2001-000137_PAS_1of2,True,False,False
S-2102-006457_PAS_2of2,True,False,False
S-2001-000090_PAS_1of2,True,False,False
S-2006-002245_PAS_1of2,True,False,False
S-2006-005046_PAS_2of2,True,False,False
S-1908-000892_PAS_1of2,True,False,False
S-1908-000604_PAS_2of3,True,False,False
S-2006-002186_PAS_1of2,True,False,False
S-2006-004764_PAS_1of2,True,False,False
S-2006-004811_PAS_1of2,True,False,False
S-2103-004669_PAS_2of2,True,False,False
S-2006-003979_PAS_1of2,True,False,False
S-1905-018684_PAS_2of2,True,False,False
S-2006-005000_PAS_1of2,True,False,False
S-1905-018731_PAS_2of2,True,False,False
S-2008-000353_PAS_2of2,True,False,False
S-1905-017550_PAS_1of2,True,False,False
S-2006-004952_PAS_2of2,True,False,False
S-2104-001089_PAS_2of2,True,False,False
S-1909-007148_PAS_2of2,True,False,False
S-1905-017738_PAS_1of2,True,False,False
S-2001-000136_PAS_2of2,True,False,False
S-2010-012854_PAS_2of2,True,False,False
S-2006-001660_PAS_2of2,True,False,False
S-1908-010019_PAS_1of2,True,False,False
S-1908-010018_PAS_2of2,True,False,False
S-1908-009640_PAS_2of2,True,False,False
S-2006-001849_PAS_1of2,True,False,False
S-1908-009868_PAS_3of3,True,False,False
S-1908-009687_PAS_2of2,True,False,False
S-2010-012948_PAS_2of2,True,False,False
S-1908-009734_PAS_2of2,True,False,False
S-2006-002486_PAS_1of1,True,False,False
S-2002-014469_PAS_2of2,True,False,False
S-2102-003404_PAS_2of2,True,False,False
S-1908-010113_PAS_1of2,True,False,False
S-1908-009878_PAS_1of3,True,False,False
S-1903-005465_PAS_2of2,True,False,False
S-1908-009831_PAS_1of2,True,False,False
S-2109-011405_PAS_2of2,True,False,False
S-2006-002391_PAS_1of1,True,False,False
S-2006-002439_PAS_2of3,True,False,False
S-1908-009877_PAS_2of3,True,False,False
S-1908-009781_PAS_2of2,True,False,False
S-2002-007742_PAS_2of2,True,False,False
S-2006-001990_PAS_1of2,True,False,False
S-2006-002434_PAS_3of3,True,False,False
S-1903-005466_PAS_1of2,True,False,False
S-2006-001848_PAS_2of2,True,False,False
S-1908-010065_PAS_2of2,True,False,False
S-1908-009688_PAS_1of2,True,False,False
S-2102-006269_PAS_2of2,True,False,False
S-2006-001802_PAS_1of2,True,False,False
91683,False,True,False
H18-04707 1E1_PAS,False,True,False
91734,False,True,False
91700,False,True,False
H16-01084 1E PAS,False,True,False
S-2103-004857_PAS_2of2,False,True,False
S-2001-005404_PAS_1of2,False,True,False
S-2010-004277_PAS_2of2,False,True,False
S-2002-007554_PAS_2of2,False,True,False
S-1905-018732_PAS_1of2,False,True,False
S-2006-002084_PAS_1of3,False,True,False
S-2001-000089_PAS_2of2,False,True,False
S-2103-004763_PAS_2of2,False,True,False
S-2106-003788_PAS_2of2,False,True,False
S-1905-017597_PAS_1of2,False,True,False
S-2006-004481_PAS_2of2,False,True,False
S-2006-002440_PAS_1of3,False,True,False
S-2002-007789_PAS_2of2,False,True,False
S-1904-007293_PAS_1of2,False,True,False
91704,False,False,True
91649,False,False,True
H14-12555 1L PAS,False,False,True
91708,False,False,True
91659,False,False,True
S-2010-013042_PAS_2of2,False,False,True
S-2006-004953_PAS_1of2,False,False,True
S-2006-002113_PAS_3of3,False,False,True
S-2006-005093_PAS_2of2,False,False,True
S-2002-007649_PAS_1of2,False,False,True
S-2006-002292_PAS_1of2,False,False,True
S-2104-019031_PAS_2of2,False,False,True
S-2002-007648_PAS_2of2,False,False,True
S-2102-006716_PAS_2of2,False,False,True
S-1909-007195_PAS_2of2,False,False,True
S-2006-001661_PAS_1of2,False,False,True
S-1908-009735_PAS_1of2,False,False,True
S-2101-003189_PAS_2of2,False,False,True
S-2006-001989_PAS_2of2,False,False,True
